Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10u","C_0603_1608Metric",23.3400,44.0600,0.0000,bottom
"C2","GRM21BR71H105KA12L","C_0603_1608Metric",3.9100,25.8900,90.0000,bottom
"C3","100n","C_0603_1608Metric",11.4450,29.9800,0.0000,bottom
"C4","100n","C_0603_1608Metric",20.2920,11.0080,-45.0000,bottom
"D2","BZT52H-C3V6,115","D_SOD-123F",24.0400,46.1600,0.0000,bottom
"J1","JUMP_7X2","Straight_2x07",14.9800,50.2500,-90.0000,top
"J2","046824610000846+","046824610000846",15.2950,8.0700,180.0000,bottom
"M1","HOLE M3","MountingHole_3mm",30.4800,50.2300,0.0000,top
"M2","HOLE M3","MountingHole_3mm",0.0000,50.2300,0.0000,top
"M3","HOLE","MountingHole_3mm",0.0000,0.0800,0.0000,top
"M4","HOLE","MountingHole_3mm",30.4800,0.0800,0.0000,top
"Q1","BSS138","SOT-23",7.0800,35.4400,-90.0000,bottom
"R1","750k","R_0603_1608Metric",7.4250,25.2000,180.0000,bottom
"R2","1M","R_0603_1608Metric",10.5900,32.7000,180.0000,bottom
"R3","1k","R_0603_1608Metric",8.3100,38.7900,180.0000,bottom
"R4","1M","R_0603_1608Metric",5.2100,38.7900,180.0000,bottom
"R5","10k","R_0603_1608Metric",13.1150,40.9600,0.0000,bottom
"U1","MIC1557YM5-TR","SOT-23-5",7.5600,28.9600,0.0000,bottom
