Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10u","C_0603_1608Metric",23.3400,44.0600,0.0000,bottom
"C2","GRM21BR71H105KA12L","C_0603_1608Metric",3.9100,25.8900,90.0000,bottom
"C3","100n","C_0603_1608Metric",11.4450,29.9800,0.0000,bottom
"C4","100n","C_0603_1608Metric",20.2920,11.0080,-45.0000,bottom
"D2","BZT52H-C3V6,115","D_SOD-123F",24.0400,46.1600,0.0000,bottom
"J2","046824610000846+","046824610000846",15.2950,8.0700,180.0000,bottom
"Q1","BSS138","SOT-23",7.0800,35.4400,-90.0000,bottom
"R1","750k","R_0603_1608Metric",7.4250,25.2000,180.0000,bottom
"R2","1M","R_0603_1608Metric",10.5900,32.7000,180.0000,bottom
"R3","1k","R_0603_1608Metric",8.3100,38.7900,180.0000,bottom
"R4","1M","R_0603_1608Metric",5.2100,38.7900,180.0000,bottom
"R5","10k","R_0603_1608Metric",13.1150,40.9600,0.0000,bottom
"U1","MIC1557YM5-TR","SOT-23-5",7.5600,28.9600,0.0000,bottom
