Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C2","GRM21BR71H105KA12L","C_0603_1608Metric",24.9400,7.1800,0.0000,top
"C3","100nF/63V","C_0603_1608Metric",12.5050,9.3200,0.0000,top
"C4","100nF/63V","C_0603_1608Metric",20.2900,14.0800,180.0000,top
"J1","JUMP_7X2","Straight_2x07",14.9800,30.5000,90.0000,top
"J2","046824610000846+","046824610000846",15.3350,4.5600,0.0000,top
"M1","HOLE M3","MountingHole_3mm",30.4800,30.4800,0.0000,top
"M2","HOLE M3","MountingHole_3mm",0.0000,30.4800,0.0000,top
"M3","HOLE","MountingHole_3mm",0.0000,0.0000,0.0000,top
"M4","HOLE","MountingHole_3mm",30.4800,0.0000,0.0000,top
"Q1","BSS138","SOT-23",24.1675,16.3100,180.0000,top
"R1","750k","R_0603_1608Metric",21.3000,7.1300,0.0000,top
"R2","1M","R_0603_1608Metric",20.2900,16.3400,0.0000,top
"R3","1k","R_0603_1608Metric",24.2200,20.2600,0.0000,top
"R4","1M","R_0603_1608Metric",25.3200,11.2300,-90.0000,top
"U1","MIC1557YM5-TR","SOT-23-5",21.2775,11.1200,180.0000,top
